booking_id,client_id,subproduct,booking_date,trip_date,amount_rub,status,city_from,city_to
1,1,train,2025-07-18,2025-07-20,3420.52,confirmed,Новосибирск,Сочи
2,5,train,2025-01-10,2025-01-17,14108.65,confirmed,Москва,Санкт-Петербург
3,36,hotel,2025-04-14,2025-04-29,34857.82,cancelled,Екатеринбург,Москва
4,18,avia,2025-07-17,2025-07-18,24844.33,confirmed,Екатеринбург,Казань
5,36,hotel,2025-04-24,2025-05-09,58959.96,confirmed,Уфа,Новосибирск
6,27,avia,2025-02-10,2025-03-01,216746.98,confirmed,Казань,Сочи
7,15,avia,2025-06-24,2025-06-26,125397.73,confirmed,Казань,Уфа
8,13,taxi,2025-08-25,2025-09-10,361.75,confirmed,Казань,Санкт-Петербург
9,14,avia,2025-02-08,2025-02-25,114012.35,confirmed,Сочи,Москва
10,19,taxi,2025-03-22,2025-04-04,2428.44,confirmed,Екатеринбург,Казань
11,37,avia,2025-02-28,2025-03-03,54172.18,confirmed,Москва,Казань
12,21,hotel,2025-09-11,2025-09-13,11126.46,confirmed,Казань,Новосибирск
13,21,avia,2025-03-02,2025-03-23,27888.98,confirmed,Новосибирск,Сочи
14,27,avia,2025-12-04,2025-12-19,59563.13,confirmed,Сочи,Москва
15,41,hotel,2025-04-21,2025-04-28,11688.04,confirmed,Казань,Санкт-Петербург
16,37,taxi,2025-06-18,2025-07-04,454.44,confirmed,Новосибирск,Санкт-Петербург
17,19,train,2025-06-21,2025-07-05,17092.35,confirmed,Новосибирск,Санкт-Петербург
18,1,hotel,2025-11-12,2025-11-22,70732.85,confirmed,Новосибирск,Уфа
19,39,train,2025-03-05,2025-03-21,15756.15,confirmed,Сочи,Санкт-Петербург
20,7,hotel,2025-05-25,2025-06-14,24473.03,confirmed,Уфа,Сочи
21,13,avia,2025-09-19,2025-10-02,43209.88,confirmed,Санкт-Петербург,Екатеринбург
22,27,taxi,2025-02-11,2025-02-24,527.43,confirmed,Сочи,Уфа
23,33,taxi,2025-12-17,2025-12-30,1083.9,confirmed,Санкт-Петербург,Новосибирск
24,33,avia,2025-07-24,2025-08-13,210696.58,confirmed,Уфа,Санкт-Петербург
25,42,hotel,2025-04-21,2025-04-27,50579.28,confirmed,Новосибирск,Сочи
26,1,avia,2025-07-07,2025-07-21,54725.88,confirmed,Санкт-Петербург,Сочи
27,48,avia,2025-01-03,2025-01-17,13204.62,confirmed,Сочи,Казань
28,37,avia,2025-01-17,2025-02-03,108098.71,confirmed,Казань,Новосибирск
29,34,hotel,2025-03-01,2025-03-19,45037.23,confirmed,Уфа,Казань
30,45,taxi,2025-01-06,2025-01-23,750.3,confirmed,Москва,Новосибирск
31,19,hotel,2025-03-04,2025-03-08,132713.46,confirmed,Москва,Новосибирск
32,21,hotel,2025-05-24,2025-06-08,18619.54,cancelled,Санкт-Петербург,Москва
33,10,avia,2025-11-27,2025-12-11,21157.5,confirmed,Санкт-Петербург,Казань
34,14,hotel,2025-10-13,2025-10-29,58720.39,confirmed,Санкт-Петербург,Казань
35,33,avia,2025-11-26,2025-12-13,165089.57,confirmed,Казань,Санкт-Петербург
36,33,hotel,2025-08-13,2025-08-26,121975.84,confirmed,Санкт-Петербург,Екатеринбург
37,49,avia,2025-03-19,2025-04-01,124107.27,confirmed,Санкт-Петербург,Уфа
38,13,avia,2025-08-03,2025-08-24,58515.86,confirmed,Казань,Москва
39,19,hotel,2025-07-24,2025-07-28,127131.96,confirmed,Москва,Екатеринбург
40,16,hotel,2025-09-06,2025-09-19,15786.32,cancelled,Санкт-Петербург,Уфа
41,17,hotel,2025-08-09,2025-08-21,62691.23,confirmed,Екатеринбург,Новосибирск
42,27,taxi,2025-11-19,2025-12-02,1745.35,confirmed,Санкт-Петербург,Новосибирск
43,1,avia,2025-12-26,2026-01-13,67069.88,confirmed,Санкт-Петербург,Москва
44,13,avia,2025-07-07,2025-07-12,40039.98,confirmed,Уфа,Сочи
45,15,hotel,2025-07-10,2025-07-16,7848.32,cancelled,Екатеринбург,Уфа
46,10,avia,2025-12-08,2025-12-27,79840.95,confirmed,Казань,Санкт-Петербург
47,43,avia,2025-06-27,2025-07-11,51797.44,confirmed,Сочи,Уфа
48,14,taxi,2025-02-19,2025-02-28,3989.5,confirmed,Сочи,Екатеринбург
49,22,avia,2025-02-15,2025-02-25,22482.7,confirmed,Екатеринбург,Уфа
50,10,avia,2025-12-21,2026-01-06,95322.25,confirmed,Санкт-Петербург,Уфа
51,47,avia,2025-04-16,2025-04-20,66775.2,confirmed,Екатеринбург,Казань
52,1,avia,2025-07-25,2025-08-09,93772.65,confirmed,Уфа,Новосибирск
53,1,avia,2025-12-01,2025-12-20,11876.87,confirmed,Уфа,Екатеринбург
54,7,avia,2025-06-12,2025-06-20,14691.65,confirmed,Казань,Москва
55,34,hotel,2025-09-08,2025-09-14,61983.81,confirmed,Уфа,Новосибирск
56,9,train,2025-12-16,2025-12-24,12802.35,confirmed,Москва,Уфа
57,33,avia,2025-05-16,2025-05-18,151994.0,confirmed,Казань,Екатеринбург
58,49,avia,2025-04-01,2025-04-12,22172.89,confirmed,Новосибирск,Казань
59,36,avia,2025-02-23,2025-03-12,13146.79,confirmed,Казань,Уфа
60,34,hotel,2025-06-13,2025-06-20,19990.54,confirmed,Сочи,Казань
61,32,avia,2025-03-12,2025-03-17,86103.66,confirmed,Екатеринбург,Санкт-Петербург
62,41,avia,2025-03-28,2025-04-11,33071.53,confirmed,Екатеринбург,Казань
63,12,avia,2025-08-24,2025-09-01,15478.33,confirmed,Санкт-Петербург,Новосибирск
64,13,hotel,2025-09-18,2025-09-26,56146.66,confirmed,Новосибирск,Казань
65,33,avia,2025-10-05,2025-10-15,218634.16,confirmed,Москва,Новосибирск
66,20,taxi,2025-11-23,2025-12-10,2690.58,confirmed,Новосибирск,Москва
67,33,hotel,2025-05-03,2025-05-11,88608.6,confirmed,Санкт-Петербург,Казань
68,42,avia,2025-06-05,2025-06-08,77355.86,confirmed,Сочи,Уфа
69,19,train,2025-07-26,2025-08-02,16496.18,confirmed,Новосибирск,Санкт-Петербург
70,2,train,2025-07-20,2025-07-28,7776.24,cancelled,Казань,Сочи
71,44,avia,2025-06-06,2025-06-21,79721.32,confirmed,Сочи,Санкт-Петербург
72,29,taxi,2025-12-25,2026-01-03,1547.01,confirmed,Казань,Уфа
73,23,hotel,2025-07-21,2025-07-22,145664.38,confirmed,Санкт-Петербург,Новосибирск
74,49,taxi,2025-01-01,2025-01-10,1711.26,confirmed,Санкт-Петербург,Москва
75,19,avia,2025-04-24,2025-05-04,45914.4,confirmed,Санкт-Петербург,Москва
76,1,train,2025-11-01,2025-11-07,9773.48,cancelled,Уфа,Сочи
77,48,train,2025-06-22,2025-06-25,23198.19,confirmed,Москва,Санкт-Петербург
78,37,train,2025-02-11,2025-03-03,9838.17,confirmed,Сочи,Казань
79,33,hotel,2025-08-08,2025-08-29,90766.63,confirmed,Москва,Казань
80,26,avia,2025-06-04,2025-06-19,54615.21,confirmed,Казань,Сочи
81,4,hotel,2025-01-09,2025-01-11,37792.65,confirmed,Москва,Новосибирск
82,9,train,2025-06-28,2025-07-04,16906.9,confirmed,Санкт-Петербург,Казань
83,47,train,2025-03-23,2025-04-06,13642.65,confirmed,Екатеринбург,Санкт-Петербург
84,4,avia,2025-10-01,2025-10-19,17422.63,confirmed,Новосибирск,Екатеринбург
85,33,train,2025-02-17,2025-02-22,37079.7,confirmed,Екатеринбург,Новосибирск
86,46,avia,2025-04-02,2025-04-04,35287.98,confirmed,Казань,Екатеринбург
87,19,hotel,2025-11-13,2025-12-03,97518.99,confirmed,Санкт-Петербург,Уфа
88,17,taxi,2025-07-02,2025-07-20,2086.85,confirmed,Санкт-Петербург,Уфа
89,33,hotel,2025-10-08,2025-10-11,7908.42,cancelled,Москва,Екатеринбург
90,33,hotel,2025-12-24,2026-01-04,135251.41,cancelled,Екатеринбург,Казань
91,10,avia,2025-04-04,2025-04-18,65431.97,confirmed,Санкт-Петербург,Москва
92,49,avia,2025-06-19,2025-06-21,121342.44,confirmed,Сочи,Казань
93,9,avia,2025-04-13,2025-04-30,53088.28,cancelled,Новосибирск,Уфа
94,21,avia,2025-12-17,2025-12-20,90257.51,cancelled,Сочи,Казань
95,45,hotel,2025-06-07,2025-06-16,55434.44,confirmed,Сочи,Екатеринбург
96,45,train,2025-05-26,2025-06-08,2466.14,cancelled,Сочи,Уфа
97,10,avia,2025-01-22,2025-02-05,118680.11,cancelled,Санкт-Петербург,Казань
98,47,avia,2025-03-14,2025-03-27,27100.89,confirmed,Москва,Екатеринбург
99,16,train,2025-07-11,2025-07-25,17925.29,confirmed,Екатеринбург,Казань
100,29,train,2025-02-19,2025-03-03,8314.39,confirmed,Сочи,Екатеринбург
101,21,hotel,2025-11-15,2025-12-02,42716.52,confirmed,Санкт-Петербург,Екатеринбург
102,37,hotel,2025-04-28,2025-05-16,8875.07,cancelled,Казань,Сочи
103,19,hotel,2025-10-25,2025-11-14,110243.01,confirmed,Новосибирск,Екатеринбург
104,12,train,2025-10-19,2025-10-31,11569.32,confirmed,Новосибирск,Санкт-Петербург
105,23,avia,2025-05-22,2025-06-10,85925.93,cancelled,Санкт-Петербург,Москва
106,19,avia,2025-03-17,2025-04-01,166056.18,confirmed,Новосибирск,Казань
107,19,train,2025-10-24,2025-11-02,26657.78,confirmed,Санкт-Петербург,Казань
108,48,hotel,2025-06-12,2025-06-27,55601.99,confirmed,Санкт-Петербург,Екатеринбург
109,44,avia,2025-06-16,2025-06-23,21941.1,confirmed,Екатеринбург,Москва
110,12,hotel,2025-02-12,2025-02-22,47087.25,confirmed,Санкт-Петербург,Уфа
111,27,train,2025-08-12,2025-08-25,18516.09,confirmed,Уфа,Сочи
112,12,taxi,2025-10-13,2025-10-20,2130.45,confirmed,Казань,Екатеринбург
113,27,taxi,2025-06-20,2025-07-09,2159.16,confirmed,Казань,Санкт-Петербург
114,32,hotel,2025-12-22,2025-12-31,30876.87,confirmed,Сочи,Уфа
115,47,avia,2025-02-13,2025-02-15,116426.89,cancelled,Уфа,Сочи
116,13,train,2025-11-06,2025-11-14,17693.33,cancelled,Москва,Новосибирск
117,31,train,2025-04-22,2025-05-09,12349.79,confirmed,Новосибирск,Уфа
118,50,avia,2025-03-10,2025-03-24,83403.57,confirmed,Новосибирск,Москва
119,27,hotel,2025-05-06,2025-05-07,138858.03,confirmed,Казань,Уфа
120,27,taxi,2025-10-17,2025-10-25,2592.4,confirmed,Сочи,Екатеринбург
121,45,hotel,2025-03-16,2025-04-06,46113.9,confirmed,Екатеринбург,Москва
122,27,hotel,2025-07-03,2025-07-13,107026.18,confirmed,Сочи,Новосибирск
