month,agent,calls_reported,visits_reported,new_objects_reported,deals
2024-01,agent_01,150,35,5,1
2024-02,agent_01,134,16,5,0
2024-03,agent_01,165,26,8,1
2024-04,agent_01,127,19,5,1
2024-05,agent_01,103,13,1,0
2024-06,agent_01,139,14,6,0
2024-07,agent_01,106,17,4,0
2024-08,agent_01,139,17,8,0
2024-09,agent_01,113,11,5,1
2024-10,agent_01,124,17,7,2
2024-11,agent_01,101,17,6,0
2024-12,agent_01,152,28,6,0
2025-01,agent_01,131,15,6,0
2025-02,agent_01,118,12,6,0
2025-03,agent_01,100,19,7,0
2025-04,agent_01,157,18,7,0
2025-05,agent_01,128,24,3,1
2025-06,agent_01,133,26,7,1
2024-01,agent_02,203,31,14,0
2024-02,agent_02,77,13,2,0
2024-03,agent_02,120,23,11,0
2024-04,agent_02,135,14,6,0
2024-05,agent_02,171,26,11,1
2024-06,agent_02,109,15,4,0
2024-07,agent_02,101,18,7,0
2024-08,agent_02,149,26,7,1
2024-09,agent_02,129,24,8,1
2024-10,agent_02,107,14,7,1
2024-11,agent_02,121,24,6,0
2024-12,agent_02,59,15,5,0
2025-01,agent_02,86,11,6,0
2025-02,agent_02,89,19,6,0
2025-03,agent_02,151,20,6,0
2025-04,agent_02,96,15,5,0
2025-05,agent_02,131,16,10,1
2025-06,agent_02,172,23,6,0
2024-01,agent_03,214,24,12,0
2024-02,agent_03,170,22,4,0
2024-03,agent_03,241,22,14,0
2024-04,agent_03,128,20,0,1
2024-05,agent_03,172,21,18,0
2024-06,agent_03,91,14,3,0
2024-07,agent_03,148,17,10,0
2024-08,agent_03,246,40,14,1
2024-09,agent_03,202,27,12,0
2024-10,agent_03,151,26,8,0
2024-11,agent_03,116,14,9,1
2024-12,agent_03,101,12,3,0
2025-01,agent_03,145,18,2,0
2025-02,agent_03,272,40,4,1
2025-03,agent_03,224,26,9,0
2025-04,agent_03,153,28,5,1
2025-05,agent_03,210,24,13,0
2025-06,agent_03,113,18,4,0
2024-01,agent_04,122,16,9,1
2024-02,agent_04,119,24,7,0
2024-03,agent_04,87,11,7,0
2024-04,agent_04,108,16,9,0
2024-05,agent_04,114,13,6,0
2024-06,agent_04,160,26,7,3
2024-07,agent_04,125,19,6,1
2024-08,agent_04,128,16,6,0
2024-09,agent_04,141,18,7,0
2024-10,agent_04,131,18,5,1
2024-11,agent_04,116,14,6,0
